Title,Genre,Year,Rating
Top Gun: Maverick,"['Action', 'Drama']",2022,8.6
Jurassic World Dominion,"['Action', 'Adventure', 'Sci-Fi']",2022,6
Top Gun,"['Action', 'Drama']",1986,6.9
Lightyear,"['Animation', 'Action', 'Adventure']",2022,5.2
Spiderhead,"['Action', 'Crime', 'Drama']",2022,5.4
Everything Everywhere All at Once,"['Action', 'Adventure', 'Comedy']",2022,8.3
Interceptor,"['Action', 'Adventure', 'Drama']",2022,4.4
Interceptor,"['Action', 'Sci-Fi', 'Thriller']",2022,3.6
Black Adam,"['Action', 'Fantasy', 'Sci-Fi']",2022,0
The Northman,"['Action', 'Adventure', 'Drama']",2022,7.2
Thor: Love and Thunder,"['Action', 'Adventure', 'Comedy']",2022,8.2
Fantastic Beasts: The Secrets of Dumbledore,"['Action', 'Adventure', 'Fantasy']",2022,6.2
The Unbearable Weight of Massive Talent,"['Action', 'Comedy', 'Crime']",2022,7.1
Jurassic Park,"['Action', 'Adventure', 'Sci-Fi']",1993,8.2
Doctor Strange in the Multiverse of Madness,"['Action', 'Adventure', 'Fantasy']",2022,7.2
No Time to Die,"['Action', 'Adventure', 'Thriller']",2021,7.3
The Batman,"['Action', 'Crime', 'Drama']",2022,7.9
Bullet Train,"['Action', 'Thriller']",2022,0
Bullet Train,"['Action', 'Crime', 'Drama']",2022,6.8
Jurassic World,"['Action', 'Adventure', 'Sci-Fi']",2015,6.9
Jurassic World: Fallen Kingdom,"['Action', 'Adventure', 'Sci-Fi']",2018,6.1
Vikram,"['Action', 'Thriller']",2022,8.8
Morbius,"['Action', 'Adventure', 'Horror']",2022,5.1
The Lost City,"['Action', 'Adventure', 'Comedy']",2022,6.2
Spider-Man: No Way Home,"['Action', 'Adventure', 'Fantasy']",2021,8.3
Last Seen Alive,"['Action', 'Thriller']",2022,5.6
Sonic the Hedgehog 2,"['Action', 'Adventure', 'Comedy']",2022,6.6
Uncharted,"['Action', 'Adventure']",2022,6.4
Prey,"['Action', 'Drama', 'Horror']",2022,0
Prey,"['Adventure', 'Drama', 'Horror']",2022,5.2
Prey,"['Comedy', 'Horror', 'Thriller']",2022,5.3
Ambulance,"['Action', 'Crime', 'Drama']",2022,6.1
Ambulance,"['Action', 'Drama', 'Thriller']",2022,5.3
The Lost World: Jurassic Park,"['Action', 'Adventure', 'Sci-Fi']",1997,6.5
Dune,"['Action', 'Adventure', 'Drama']",1984,8
Dune,"['Action', 'Adventure', 'Sci-Fi']",1984,6.3
Jurassic Park III,"['Action', 'Adventure', 'Sci-Fi']",2001,5.9
Star Wars,"['Action', 'Adventure', 'Fantasy']",1977,8.6
The Gray Man,"['Action', 'Thriller']",2022,0
Avengers: Endgame,"['Action', 'Adventure', 'Drama']",2019,8.4
The Lady of Heaven,"['Action', 'Drama', 'History']",2021,5.7
Pirates of the Caribbean: The Curse of the Black Pearl,"['Action', 'Adventure', 'Fantasy']",2003,8.1
Eternals,"['Action', 'Adventure', 'Fantasy']",2021,6.3
Free Guy,"['Action', 'Adventure', 'Comedy']",2021,7.1
The Matrix Resurrections,"['Action', 'Sci-Fi']",2021,5.7
Mission: Impossible,"['Action', 'Adventure', 'Thriller']",1996,7.1
Memory,"['Action', 'Thriller']",2022,5.6
Memory,['Drama'],2022,0
Star Wars: Episode I - The Phantom Menace,"['Action', 'Adventure', 'Fantasy']",1999,6.5
The Adam Project,"['Action', 'Adventure', 'Comedy']",2022,6.7
The King's Man,"['Action', 'Adventure', 'Thriller']",2021,6.3
The Dark Knight,"['Action', 'Crime', 'Drama']",2008,9
Aquaman,"['Action', 'Adventure', 'Fantasy']",2018,6.8
The Gentlemen,"['Action', 'Comedy', 'Crime']",2019,7.8
Mission: Impossible - Fallout,"['Action', 'Adventure', 'Thriller']",2018,7.7
Samrat Prithviraj,"['Action', 'Drama', 'History']",2022,7.6
Blade Runner 2049,"['Action', 'Drama', 'Mystery']",2017,8
Inception,"['Action', 'Adventure', 'Sci-Fi']",2010,8.8
Moonfall,"['Action', 'Adventure', 'Sci-Fi']",2022,5.2
Avatar: The Way of Water,"['Action', 'Adventure', 'Sci-Fi']",2022,0
Major,"['Action', 'Biography', 'Drama']",2022,8.7
Star Wars: Episode III - Revenge of the Sith,"['Action', 'Adventure', 'Fantasy']",2005,7.6
Mission: Impossible - Dead Reckoning - Part One,"['Action', 'Adventure', 'Thriller']",2023,0
The Contractor,"['Action', 'Thriller']",2022,5.8
The Contractor,"['Action', 'Crime', 'Thriller']",2022,5.2
Road House,"['Action', 'Thriller']",1989,6.6
Mission: Impossible - Ghost Protocol,"['Action', 'Adventure', 'Thriller']",2011,7.4
Star Wars: Episode IX - The Rise of Skywalker,"['Action', 'Adventure', 'Fantasy']",2019,6.5
Venom: Let There Be Carnage,"['Action', 'Adventure', 'Sci-Fi']",2021,5.9
Heat,"['Action', 'Crime', 'Drama']",1995,8.3
Nobody,"['Action', 'Crime', 'Drama']",2021,7.4
Avatar,"['Action', 'Adventure', 'Fantasy']",2009,7.8
The Suicide Squad,"['Action', 'Adventure', 'Comedy']",2021,7.2
Avengers: Infinity War,"['Action', 'Adventure', 'Sci-Fi']",2018,8.4
Thor: Ragnarok,"['Action', 'Adventure', 'Comedy']",2017,7.9
Spree,"['Action', 'Comedy', 'Crime']",2020,5.9
Guardians of the Galaxy,"['Action', 'Adventure', 'Comedy']",2014,8
The Last Duel,"['Action', 'Drama', 'History']",2021,7.4
Mission: Impossible II,"['Action', 'Adventure', 'Thriller']",2000,6.1
Wrath of Man,"['Action', 'Crime', 'Thriller']",2021,7.1
Pirates of the Caribbean: Dead Men Tell No Tales,"['Action', 'Adventure', 'Fantasy']",2017,6.5
Star Wars: Episode II - Attack of the Clones,"['Action', 'Adventure', 'Fantasy']",2002,6.6
Sonic the Hedgehog,"['Action', 'Adventure', 'Comedy']",2020,6.5
The Lord of the Rings: The Fellowship of the Ring,"['Action', 'Adventure', 'Drama']",2001,8.8
Aquaman and the Lost Kingdom,"['Action', 'Adventure', 'Fantasy']",2023,0
Star Wars: Episode VI - Return of the Jedi,"['Action', 'Adventure', 'Fantasy']",1983,8.3
The Amazing Spider-Man,"['Action', 'Adventure', 'Sci-Fi']",2012,6.9
Spectre,"['Action', 'Adventure', 'Thriller']",2015,6.8
The Hunger Games: The Ballad of Songbirds and Snakes,"['Action', 'Adventure', 'Drama']",2023,0
Watchmen,"['Action', 'Drama', 'Mystery']",2009,7.6
Tenet,"['Action', 'Adventure', 'Sci-Fi']",2020,7.3
Shang-Chi and the Legend of the Ten Rings,"['Action', 'Adventure', 'Fantasy']",2021,7.4
Ghostbusters,"['Action', 'Comedy', 'Fantasy']",1984,7.8
The Hunger Games,"['Action', 'Adventure', 'Sci-Fi']",2012,7.2
The Mortal Instruments: City of Bones,"['Action', 'Adventure', 'Fantasy']",2013,5.8
Black Widow,"['Action', 'Adventure', 'Sci-Fi']",2021,6.7
Willow,"['Action', 'Adventure', 'Drama']",1988,7.2
Independence Day,"['Action', 'Adventure', 'Sci-Fi']",1996,7
Mission: Impossible - Rogue Nation,"['Action', 'Adventure', 'Thriller']",2015,7.4
Casino Royale,"['Action', 'Adventure', 'Thriller']",2006,8
The Fifth Element,"['Action', 'Adventure', 'Sci-Fi']",1997,7.6
Deadpool,"['Action', 'Adventure', 'Comedy']",2016,8
Doctor Strange,"['Action', 'Adventure', 'Fantasy']",2016,7.5
Enola Holmes,"['Action', 'Adventure', 'Crime']",2020,6.6
Divergent,"['Action', 'Adventure', 'Mystery']",2014,6.6
The Accountant,"['Action', 'Thriller']",2016,7.3
Spider-Man,"['Action', 'Adventure', 'Sci-Fi']",2002,7.4
Operation Fortune: Ruse de guerre,"['Action', 'Comedy', 'Thriller']",2022,7.2
Zack Snyder's Justice League,"['Action', 'Adventure', 'Fantasy']",2021,8
Die Hard,"['Action', 'Thriller']",1988,8.2
Mission: Impossible III,"['Action', 'Adventure', 'Thriller']",2006,6.9
Blade Runner,"['Action', 'Drama', 'Sci-Fi']",1982,8.1
Mad Max: Fury Road,"['Action', 'Adventure', 'Sci-Fi']",2015,8.1
K.G.F: Chapter 2,"['Action', 'Crime', 'Drama']",2022,8.5
White Elephant,"['Action', 'Thriller']",2022,5
Blacklight,"['Action', 'Thriller']",2022,4.7
Pirates of the Caribbean: Dead Man's Chest,"['Action', 'Adventure', 'Fantasy']",2006,7.3
Spider-Man: Homecoming,"['Action', 'Adventure', 'Sci-Fi']",2017,7.4
Resident Evil: Welcome to Raccoon City,"['Action', 'Horror', 'Sci-Fi']",2021,5.2
Captain Marvel,"['Action', 'Adventure', 'Sci-Fi']",2019,6.8
Aliens,"['Action', 'Adventure', 'Sci-Fi']",1986,8.4
1917,"['Action', 'Drama', 'War']",2019,8.2
Star Wars: Episode VII - The Force Awakens,"['Action', 'Adventure', 'Sci-Fi']",2015,7.8
The Matrix,"['Action', 'Sci-Fi']",1999,8.7
The Flash,"['Action', 'Adventure', 'Fantasy']",2023,0
Gladiator,"['Action', 'Adventure', 'Drama']",2000,8.5
Kingsman: The Secret Service,"['Action', 'Adventure', 'Comedy']",2014,7.7
Predator,"['Action', 'Adventure', 'Horror']",1987,7.8
Red Notice,"['Action', 'Comedy', 'Thriller']",2021,6.3
Spider-Man: Into the Spider-Verse,"['Animation', 'Action', 'Adventure']",2018,8.4
The Mummy,"['Action', 'Adventure', 'Fantasy']",1999,7.1
Batman Begins,"['Action', 'Crime', 'Drama']",2005,8.2
Star Wars: Episode VIII - The Last Jedi,"['Action', 'Adventure', 'Fantasy']",2017,6.9
21 Bridges,"['Crime', 'Drama', 'Thriller']",2019,6.6
Apocalypto,"['Action', 'Adventure', 'Drama']",2006,7.8
Jack Reacher,"['Action', 'Mystery', 'Thriller']",2012,7
Drive,"['Action', 'Drama']",2011,7.8
Pirates of the Caribbean: On Stranger Tides,"['Action', 'Adventure', 'Fantasy']",2011,6.6
Oblivion,"['Action', 'Adventure', 'Sci-Fi']",2013,7
The Hunt,"['Action', 'Horror', 'Thriller']",2020,6.5
The Hunt,['Drama'],2020,8.3
300,"['Action', 'Drama']",2006,7.6
Suicide Squad,"['Action', 'Adventure', 'Fantasy']",2016,5.9
The Dark Knight Rises,"['Action', 'Drama']",2012,8.4
Starship Troopers,"['Action', 'Adventure', 'Sci-Fi']",1997,7.3
The Old Guard,"['Action', 'Thriller']",2020,6.6
The Lord of the Rings: The Return of the King,"['Action', 'Adventure', 'Drama']",2003,9
